시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분,소재지전화번호
3040000,2006,5486,20061023,20061128,민속손국시,"서울특별시 광진구 아차산로 458, (구의동)",서울특별시 광진구 구의동  218번지 1호  ,3040000-101-2005-00350,분식,칼국수,77.37,구의제3동,상수도전용,02 4447833
3040000,2006,5475,20060404,20060510,신선설농탕자양점,"서울특별시 광진구 자양로 139, (자양동)",서울특별시 광진구 자양동  766번지 10호  ,3040000-101-1994-00486,한식,설렁탕,88.17,자양제1동,상수도전용,02 4547944
3040000,2005,5464,20051111,20051111,예담밥상,"서울특별시 광진구 동일로22길 13, (화양동)",서울특별시 광진구 화양동  44번지 68호  ,3040000-101-1992-03860,한식,한정식,72.46,화양동,상수도전용,02 4690072
3040000,2008,5570,20081103,20081201,옛집,"서울특별시 광진구 아차산로76가길 18, (광장동)",서울특별시 광진구 광장동  326번지 9호  ,3040000-101-2006-00237,한식,김치찌개,69.95,광장동,상수도전용,222014369
3040000,2006,5480,20060404,20060510,주식회사 돕,"서울특별시 광진구 아차산로31길 9, (화양동)",서울특별시 광진구 화양동  9번지 22호  ,3040000-101-2002-00414,한식,감자탕,108.84,화양동,,02 4992838
3040000,2024,1,20240812,20241031,고고기,"서울특별시 광진구 아차산로 471, 1층 (구의동)",서울특별시 광진구 구의동  212번지 3호  ,3040000-101-2012-00240,한식,고기,221,구의제3동,,02454 0092
3040000,2024,6,20240812,20241031,명품돼지부속전문,"서울특별시 광진구 광나루로 344, (화양동)",서울특별시 광진구 화양동  21번지 49호  ,3040000-101-2002-00382,한식,돼지고기,36.38,화양동,상수도전용,02 4671118
3040000,2024,3,20240812,20241031,마당족발,"서울특별시 광진구 능동로 175, 1~2층 (화양동)",서울특별시 광진구 화양동  111번지 119호  ,3040000-101-2000-09001,호프/통닭,족발,169.72,화양동,상수도전용,02 4683030
3040000,2024,10,20240812,20241031,양평해장국,"서울특별시 광진구 동일로 402, (중곡동)",서울특별시 광진구 중곡동  190번지 37호  ,3040000-101-2007-00093,한식,해장국,114.27,중곡제3동,상수도전용,02 9766820
3040000,2024,2,20240812,20241031,또래끼리,"서울특별시 광진구 군자로 101, 1층 (군자동)",서울특별시 광진구 군자동  102번지 13호  ,3040000-101-2024-00248,한식,김치볶음밥,140.41,군자동,,
3040000,2024,14,20240812,20241031,임면옥,"서울특별시 광진구 능동로 338, 1층 (중곡동)",서울특별시 광진구 중곡동  161번지 28호  (1층),3040000-101-2013-00281,,칼국수,33,중곡제2동,,234363811
3040000,2024,8,20240812,20241031,서울돼지구이,"서울특별시 광진구 능동로 264, 한사랑빌딩 1층 (능동)",서울특별시 광진구 능동  283번지 27호  한사랑빌딩 1층,3040000-101-2013-00366,식육(숯불구이),돼지고기구이,101.48,능동,,
3040000,2024,5,20240812,20241031,마초쉐프건대점,"서울특별시 광진구 능동로 125, 2층 (화양동)",서울특별시 광진구 화양동  5번지 3호  2층,3040000-101-2017-00158,경양식,"피자, 파스타",208.88,화양동,상수도전용,02 4978886
3040000,2024,19,20240812,20241031,택이네조개전골,"서울특별시 광진구 천호대로 591, 유신빌딩 1층 (중곡동)",서울특별시 광진구 중곡동  132번지 21호  유신빌딩,3040000-101-2019-00100,한식,조개전골,192.96,중곡제2동,,
3040000,2024,12,20240812,20241031,오늘도낙지,"서울특별시 광진구 아차산로76길 6, 1층 (광장동)",서울특별시 광진구 광장동  336번지 7호  ,3040000-101-2019-00008,한식,낙지,63.24,광장동,,264098802
3040000,2024,20,20240812,20241031,한남성 왕꼬치,"서울특별시 광진구 동일로18길 67, 1층 (자양동)",서울특별시 광진구 자양동  9번지 10호  1층,3040000-101-2020-00364,중국식,양꼬치,70.2,자양제4동,,
3040000,2024,18,20240812,20241031,태천면옥,"서울특별시 광진구 광장로 49, 1층 (광장동)",서울특별시 광진구 광장동  258번지 39호  1층,3040000-101-2019-00099,한식,냉면,70,광장동,,
3040000,2003,5374,20031203,20031203,등촌샤브칼국수,"서울특별시 광진구 용마산로 128, (중곡동)",서울특별시 광진구 중곡동  18번지 67호  ,3040000-101-2002-00283,분식,샤브샤브,129.78,중곡제4동,상수도전용,02 4546889
3040000,2023,2,20230801,20230930,서울김밥,"서울특별시 광진구 아차산로57길 4, 풍강빌딩 1층 (구의동)",서울특별시 광진구 구의동  221번지 40호  풍강빌딩,3040000-101-2023-00056,한식,김밥,80.2,구의제1동,,
3040000,2023,5,20230801,20230930,도도곱창건대본점,"서울특별시 광진구 아차산로34길 18, (자양동)",서울특별시 광진구 자양동  5번지 2호  ,3040000-101-1999-08316,한식,곱창,57,자양제4동,상수도전용,222987789
3040000,2023,6,20230801,20230930,아빠찜 구의역점,"서울특별시 광진구 자양로18길 96, 베스트트레드빌 101호, 102호 (구의동)",서울특별시 광진구 구의동  243번지 2호  베스트트레드빌,3040000-101-2023-00276,한식,아구찜,322.7,구의제1동,,
3040000,2023,8,20230801,20230930,육일관,"서울특별시 광진구 아차산로31길 10, (화양동,(지하1층,1,2층))","서울특별시 광진구 화양동  8번지 35호  (지하1층,1,2층)",3040000-101-2006-00161,한식,"소고기, 돼지고기",150.38,화양동,,02 4646868
3040000,2021,1,20211015,20211129,원할머니보쌈(구의역점),"서울특별시 광진구 아차산로51길 45, (구의동)",서울특별시 광진구 구의동  252번지 57호  ,3040000-101-2004-00033,한식,보쌈,77.29,구의제1동,상수도전용,02 4535357
3040000,2021,3,20211015,20211129,신창면옥,"서울특별시 광진구 자양번영로 67, (자양동)",서울특별시 광진구 자양동  227번지 283호  ,3040000-101-2006-00076,한식,냉면,72.9,자양제3동,상수도전용,02 4440592
3040000,2013,5650,20130730,20130912,대갈집,"서울특별시 광진구 능동로 49, (자양동)",서울특별시 광진구 자양동  550번지 1호  ,3040000-101-2006-00005,한식,갈비,93.09,자양제4동,상수도전용,02 4632702
3040000,2016,5,20161021,20161021,할머니추어탕자양점,"서울특별시 광진구 자양번영로 33, (자양동)",서울특별시 광진구 자양동  581번지 3호  ,3040000-101-1998-03998,한식,추어탕,156.12,자양제3동,상수도전용,02 4588808
3040000,2021,4,20211015,20211129,환이네갈비살(본점),"서울특별시 광진구 아차산로29길 24, 1층 (화양동)",서울특별시 광진구 화양동  9번지 36호  ,3040000-101-2012-00186,한식,갈비,59.58,화양동,,
3040000,2016,8,20161021,20161021,능동순두부,"서울특별시 광진구 동일로60길 24, (군자동)",서울특별시 광진구 군자동  93번지 1호  ,3040000-101-1995-00538,한식,해물순두부,80.53,군자동,상수도전용,02 4981753
3040000,2016,12,20161021,20161021,건국갈비,"서울특별시 광진구 광나루로22가길 18, (화양동)",서울특별시 광진구 화양동  496번지 4호  ,3040000-101-1997-01987,식육(숯불구이),돼지갈비,53.58,화양동,상수도전용,222010818
3040000,2012,5646,20121102,20121231,장수마을 고깃집,"서울특별시 광진구 군자로 100, (군자동)",서울특별시 광진구 군자동  100번지 105호  ,3040000-101-2004-00099,한식,갈비,209,군자동,상수도전용,02 4666005
3040000,2013,5654,20130730,20130912,신세대맥주 건대점,"서울특별시 광진구 동일로24길 103, 1,2층 (화양동)",서울특별시 광진구 화양동  11번지 9호  ,3040000-101-2000-09461,식육(숯불구이),돼지갈비,178,화양동,상수도전용,260539200
3040000,2022,1,20221020,20221207,고은별,"서울특별시 광진구 자양로 177, 은하빌딩 1층 (구의동)",서울특별시 광진구 구의동  254번지 12호  은하빌딩 1층,3040000-101-2012-00323,,샐러드파스타,31,구의제1동,,
3040000,2010,5610,20100618,20100720,미스터손두부보쌈,"서울특별시 광진구 아차산로 262, (자양동)",서울특별시 광진구 자양동  227번지 7호  스타시티판매동 지하1층 76호,3040000-101-2007-00096,한식,순두부,96.58,자양제3동,상수도전용,220241424
3040000,2015,12,20151013,20151013,연길왕꼬치,"서울특별시 광진구 동일로18길 86, (자양동)",서울특별시 광진구 자양동  4번지 6호  ,3040000-101-2014-00293,중국식,"양꼬치, 탕수육",195.77,자양제4동,,02 4637741
3040000,2018,9,20180903,20181023,진경성양꼬치,"서울특별시 광진구 동일로18길 53, 1층 (자양동)",서울특별시 광진구 자양동  10번지 20호  1층,3040000-101-1997-08554,중국식,양꼬치,170.82,자양제4동,상수도전용,02 4676880
3040000,2017,6,20170915,20171018,내가찜한닭(건대점),"서울특별시 광진구 아차산로33길 63, 2층 (화양동)",서울특별시 광진구 화양동  12번지 30호  ,3040000-101-2000-08888,한식,찜닭,74.46,화양동,상수도전용,02 4641238
3040000,2016,1,20161021,20161021,찜집,"서울특별시 광진구 자양번영로 44, (자양동,(1층))",서울특별시 광진구 자양동  610번지 6호  (1층),3040000-101-2010-00178,한식,찜,110,자양제1동,,02 4440007
3040000,2003,5355,20030630,20030630,사랑채,"서울특별시 광진구 아차산로 440-8, (구의동,지하 01)",서울특별시 광진구 구의동  587번지 15호  지하 01,3040000-101-2002-00081,한식,국수전골,107.48,구의제3동,상수도전용,234369200
3040000,1998,5046,19980220,19980220,송림식당,"서울특별시 광진구 자양번영로 77, (자양동,,137,138,139,141)","서울특별시 광진구 자양동  227번지 136호  ,137,138,139,141",3040000-101-1983-00539,한식,불고기,524.88,자양제3동,상수도전용,02 4575473
3040000,2006,5476,20060404,20060510,가마솥도가니탕 장수옥,"서울특별시 광진구 용마산로 124, (중곡동)",서울특별시 광진구 중곡동  18번지 69호  ,3040000-101-2005-00081,한식,갈비,170.7,중곡제4동,상수도전용,02 4446888
3040000,1999,5143,19990730,19990730,능동적장미,"서울특별시 광진구 천호대로107길 8, (중곡동)",서울특별시 광진구 중곡동  649번지 1호  ,3040000-101-1997-02022,한식,부대찌개,104.37,중곡제1동,상수도전용,02 4675211
3040000,2010,5618,20100618,20100720,88소곱탄 군자점,"서울특별시 광진구 천호대로110길 27, (능동)",서울특별시 광진구 능동  223번지 45호  ,3040000-101-2003-00322,식육(숯불구이),돼지갈비,92.01,능동,,02 4549285
3040000,2014,2,20140915,20140915,산울,"서울특별시 광진구 아차산로73길 48, 2층 201호 (광장동)",서울특별시 광진구 광장동  248번지 22호  ,3040000-101-2011-00159,한식,곤드레정식,82,광장동,,02 4532277
3040000,1999,5172,19990730,19990730,(주)남원추어탕,"서울특별시 광진구 동일로 114, (화양동)",서울특별시 광진구 화양동  42번지 16호  ,3040000-101-1997-06069,한식,추어탕,104.16,화양동,상수도전용,02 4988649
3040000,2020,5,20200901,20201111,금하,"서울특별시 광진구 아차산로36길 5, 4층 (자양동)",서울특별시 광진구 자양동  227번지 336호  4층,3040000-101-2016-00052,중국식,코스요리,600.97,자양제1동,,02 4048000
3040000,1998,5001,19980220,19980220,(주)장군갈비,"서울특별시 광진구 용마산로 11, (중곡동)",서울특별시 광진구 중곡동  117번지 11호  ,3040000-101-1980-01123,식육(숯불구이),갈비탕,352.11,중곡제2동,상수도전용,02 4473479
3040000,2018,1,20180830,20181023,굴다리전주콩나물국밥,"서울특별시 광진구 자양로 160, (구의동)",서울특별시 광진구 구의동  251번지 137호  ,3040000-101-2007-00302,한식,콩나물국밥,162.25,구의제1동,상수도전용,02 4588118
3040000,2001,5252,20010517,20010517,능동곱창,"서울특별시 광진구 긴고랑로 12, (중곡동)",서울특별시 광진구 중곡동  248번지 3호  ,3040000-101-2000-08961,한식,곱창,118.02,중곡제1동,상수도전용,02 4467655
3040000,1999,5133,19990730,19990730,능동아구탕,"서울특별시 광진구 천호대로 544, (군자동)",서울특별시 광진구 군자동  473번지 18호  ,3040000-101-1984-00917,한식,아구탕,143.29,군자동,상수도전용,02 4679350
3040000,2003,5351,20030630,20030630,다락,"서울특별시 광진구 광나루로 440, (화양동)",서울특별시 광진구 화양동  467번지 2호  ,3040000-101-1985-03918,일식,알탕,94.6,화양동,상수도전용,02 4444128
3040000,2008,5551,20080430,20080620,대가식당,"서울특별시 광진구 광나루로 596, (구의동)",서울특별시 광진구 구의동  201번지 4호  ,3040000-101-1996-05560,한식,등심,187.61,구의제3동,상수도전용,02 4557866
3040000,1999,5167,19990730,19990730,동신참치,"서울특별시 광진구 광나루로56길 85, 9층동 36호호 (구의동,테크노마트)",서울특별시 광진구 구의동  546번지 4호 9층 테크노마트-36호,3040000-101-1998-04006,일식,참치회,89.73,구의제3동,상수도전용,234241339
3040000,2008,5557,20080430,20080620,희가덕손만두 건대점,"서울특별시 광진구 아차산로30길 18, (자양동)",서울특별시 광진구 자양동  9번지 35호  ,3040000-101-2001-09884,한식,돼지갈비,213.48,자양제4동,상수도전용,02 4616163
3040000,2011,5635,20111201,20111201,방이편백육분삼십 군자점,"서울특별시 광진구 능동로37길 10-3, (중곡동)",서울특별시 광진구 중곡동  648번지 10호  ,3040000-101-2009-00045,한식,"낙지전골, 갈비전골",63.76,중곡제1동,,222053777
3040000,2007,5517,20070427,20070531,천미향,"서울특별시 광진구 능동로 237, 2층 (군자동)",서울특별시 광진구 군자동  249번지  ,3040000-101-1997-06090,중국식,자장면,324.52,군자동,상수도전용,02 4648088
3040000,2008,5577,20081001,20081201,코바코,"서울특별시 광진구 강변역로4길 10, (구의동,(103호))",서울특별시 광진구 구의동  546번지 11호  (103호),3040000-101-2006-00169,분식,돈가스,29.25,구의제3동,상수도전용,02 4447893
3040000,2011,5628,20111201,20111201,태평양수산회세꼬시,"서울특별시 광진구 군자로 183, (군자동)",서울특별시 광진구 군자동  473번지 17호  ,3040000-101-1992-00892,일식,생선회,167.48,군자동,상수도전용,02 4999212
3040000,2014,1,20140915,20140915,팀스쿡,"서울특별시 광진구 광나루로50길 10, 1층,2층 (구의동)","서울특별시 광진구 구의동  202번지 16호  (1층,2층)",3040000-101-2013-00235,경양식,"피자, 파스타, 스테이크",197.29,구의제3동,,24470880
3040000,2004,5381,20040512,20040512,하이난,"서울특별시 광진구 능동로 243-1, (군자동,(지하))",서울특별시 광진구 군자동  228번지  (지하),3040000-101-2003-00326,중국식,자장면,343.62,군자동,상수도전용,02 4660832
3040000,2008,5558,20080430,20080620,함흥본가면옥,"서울특별시 광진구 광나루로 456, 1~2층 (화양동)",서울특별시 광진구 화양동  302번지 11호  ,3040000-101-2005-00281,한식,냉면,420.99,화양동,상수도전용,02 4478806
3040000,2006,5492,20061023,20061128,행복한우,"서울특별시 광진구 구의강변로 30, (구의동,목림빌딩 1층)",서울특별시 광진구 구의동  599번지  목림빌딩 1층,3040000-101-2004-00256,한식,갈비살,259.92,구의제3동,상수도전용,02 4466987
3040000,2024,17,20240812,20241031,속초오징어시장 구의역직영점,"서울특별시 광진구 아차산로 377, 1층 (구의동)",서울특별시 광진구 구의동  246번지 13호  ,3040000-101-2013-00013,한식,수산물,240.9,구의제1동,,02   4554466
3040000,2011,5620,20111201,20111201,지호한방삼계탕광장점,"서울특별시 광진구 아차산로 610, (광장동)",서울특별시 광진구 광장동  326번지 15호  ,3040000-101-2004-00411,한식,삼계탕,149.52,광장동,상수도전용,02452 3990
3040000,2011,5632,20111201,20111201,심마니유황오리,"서울특별시 광진구 긴고랑로 85, (중곡동)",서울특별시 광진구 중곡동  150번지 175호  ,3040000-101-2007-00069,한식,오리구이,116.86,중곡제2동,상수도전용,02 4521610
3040000,2008,5559,20080430,20080620,(유)아웃백스테이크하우스코리아 건대스타시티점,"서울특별시 광진구 능동로 92, 롯데백화점 스타시티몰 2층 (자양동)",서울특별시 광진구 자양동  227번지 342호  롯데백화점 스타시티몰2층,3040000-101-2006-00139,경양식,스테이크,605,자양제3동,상수도전용,222183021
3040000,2003,5372,20031203,20031203,상구네돼지구이,"서울특별시 광진구 천호대로112길 13, (능동)",서울특별시 광진구 능동  235번지 1호  ,3040000-101-2002-00144,한식,부대찌개,93.92,능동,상수도전용,02 4579457
3040000,2000,5217,20001107,20001107,오리덕애(오리덕愛),"서울특별시 광진구 아차산로 453, (구의동)",서울특별시 광진구 구의동  219번지 5호  ,3040000-101-1991-03889,한식,낙지찜,104.8,구의제3동,상수도전용,02 4587721
3040000,2019,1,20190910,20191029,다옴순대국감자탕 군자점,"서울특별시 광진구 천호대로 546, (군자동)",서울특별시 광진구 군자동  478번지 1호  ,3040000-101-2006-00152,한식,곰탕,92.65,군자동,상수도전용,02 4658989
3040000,2022,2,20221017,20221207,동네맛집 뼈구이집 구의점,"서울특별시 광진구 자양로 173, 간씨빌딩 2층 (구의동)",서울특별시 광진구 구의동  254번지 30호  간씨빌딩,3040000-101-1996-05517,김밥(도시락),계란말이 김밥,172.29,구의제1동,상수도전용,02 4445005
3040000,2019,8,20190910,20191029,고향양꼬치,"서울특별시 광진구 동일로18길 101, 1층 (자양동)",서울특별시 광진구 자양동  5번지 12호  1층,3040000-101-2017-00219,중국식,양꼬치,223.97,자양제4동,,02 4983618
3040000,2008,5568,20081024,20081201,영동대교 육온도,"서울특별시 광진구 뚝섬로 476-7, (자양동)",서울특별시 광진구 자양동  52번지 2호  ,3040000-101-1979-00456,한식,갈비,165.59,자양제4동,상수도전용,02 4635455
3040000,2019,2,20190910,20191029,능동국시,"서울특별시 광진구 능동로35길 23, (군자동)",서울특별시 광진구 군자동  474번지 2호  ,3040000-101-1983-05341,분식,칼국수,91,군자동,상수도전용,02 4648877
3040000,2012,5648,20121102,20121231,만나정,"서울특별시 광진구 능동로 254, (능동)",서울특별시 광진구 능동  315번지 3호  ,3040000-101-2005-00112,한식,삼계탕,93.96,능동,상수도전용,02 4556020
3040000,2016,14,20161021,20161021,숨비소리,"서울특별시 광진구 능동로19길 17, (화양동)",서울특별시 광진구 화양동  112번지 16호  ,3040000-101-1999-08791,한식,"생선구이,탕",69.66,화양동,상수도전용,02 4665892
3040000,1999,5134,19990730,19990730,마포육곳간,"서울특별시 광진구 뚝섬로 670, (자양동)",서울특별시 광진구 자양동  662번지 13호  ,3040000-101-1985-03901,횟집,생선회,72,자양제2동,상수도전용,02 4537653
3040000,2005,5461,20051111,20051111,포몬스(건대점),"서울특별시 광진구 아차산로 208, (자양동,상록빌딩 1층)",서울특별시 광진구 자양동  8번지 3호  상록빌딩 1층,3040000-101-2004-00280,한식,쌀국수,100,자양제4동,상수도전용,02 4611721
3040000,2022,6,20221019,20221207,메밀의정석,"서울특별시 광진구 능동로4길 27, (자양동,(1층))",서울특별시 광진구 자양동  553번지 274호  (1층),3040000-101-2010-00271,한식,메밀막국수,89.84,자양제3동,,02  457 4671
3040000,2022,3,20221019,20221207,호야초밥참치전문점,"서울특별시 광진구 능동로13길 39, 한아름건물 1층 (화양동)",서울특별시 광진구 화양동  10번지 1호  한아름건물 1층,3040000-101-2009-00169,일식,초밥,271.08,화양동,상수도전용,02 4692988
3040000,2022,5,20221017,20221207,연길원보양꼬치,"서울특별시 광진구 동일로18길 23, (자양동)",서울특별시 광진구 자양동  16번지 37호  ,3040000-101-1983-00029,중국식,양꼬치,82.72,자양제4동,상수도전용,02 4677771
3040000,2021,2,20211015,20211129,삼보수제갈비,"서울특별시 광진구 능동로 366, 비버리캐슬 1층 101호 (중곡동)",서울특별시 광진구 중곡동  41번지 33호  비버리캐슬,3040000-101-2018-00330,식육(숯불구이),갈비탕,172.98,중곡제2동,,
3040000,2006,5489,20061023,20061128,탄뽀뽀,"서울특별시 광진구 광나루로56길 85, (구의동,테크노마트21 9층38)",서울특별시 광진구 구의동  546번지 4호  테크노마트21 9층38,3040000-101-1998-04003,일식,초밥,89.05,구의제3동,상수도전용,02 4074956
3040000,2016,7,20161021,20161021,세종원 군자본점,"서울특별시 광진구 광나루로 373, 1층 (군자동)",서울특별시 광진구 군자동  361번지 32호  1층,3040000-101-2014-00107,중국식,자장면,66,군자동,,02 4991800
3040000,2018,7,20180903,20181023,한마음정육식당 구의강변점,"서울특별시 광진구 구의강변로 49, (구의동)",서울특별시 광진구 구의동  593번지 13호  ,3040000-101-1996-01769,일식,초밥,156.02,구의제3동,상수도전용,02 4533599
3040000,2017,2,20170915,20171018,얼땅쟈,"서울특별시 광진구 동일로18길 68, 1층 (자양동)",서울특별시 광진구 자양동  11번지 3호  1층,3040000-101-2015-00235,중국식,딤섬,83.3,자양제1동,,02 4659285
3040000,2023,9,20230801,20230930,래빗홀버거컴퍼니,"서울특별시 광진구 광나루로 424, (화양동)",서울특별시 광진구 화양동  490번지 2호  ,3040000-101-1981-01263,한식,햄버거,17.88,화양동,상수도전용,02 4460424
3040000,2009,5600,20090910,20091105,원할머니보쌈,"서울특별시 광진구 용마산로 37, (중곡동)",서울특별시 광진구 중곡동  123번지 6호  ,3040000-101-1988-03919,한식,보쌈,120.76,중곡제2동,상수도전용,02 4460033
3040000,2012,5640,20121102,20121231,동해해물,"서울특별시 광진구 동일로26길 16, (화양동)",서울특별시 광진구 화양동  37번지 1호  ,3040000-101-2004-00291,한식,해물찜,44.2,화양동,,02 4695843
3040000,2012,5644,20121102,20121231,북창동 은이네,"서울특별시 광진구 천호대로 675, (구의동)",서울특별시 광진구 구의동  54번지 3호  ,3040000-101-2005-00187,한식,불고기냉면,97.1,구의제2동,상수도전용,02 4447292
3040000,2017,7,20170915,20171018,송쉐프구의점,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 2층 208호 (자양동)",서울특별시 광진구 자양동  779번지  타워더모스트광진아크로텔,3040000-101-2015-00110,중국식,짜장면,193.37,자양제1동,,02446 6000
3040000,2013,5658,20130730,20130912,은행나무집,"서울특별시 광진구 아차산로69길 20, (광장동)",서울특별시 광진구 광장동  413번지 13호  1층,3040000-101-2009-00087,한식,오리백숙,49.3,광장동,상수도전용,02 4577100
3040000,2020,1,20200901,20201111,한촌설렁탕 군자점,"서울특별시 광진구 능동로 255, 1층 (군자동)",서울특별시 광진구 군자동  242번지  ,3040000-101-2019-00289,한식,설렁탕,111.7,군자동,,02 4684200
3040000,2019,4,20190910,20191029,썬더치킨 중곡점,"서울특별시 광진구 면목로 183-1, (중곡동)",서울특별시 광진구 중곡동  210번지 10호  ,3040000-101-1996-01716,한식,대패삼겹살,54.15,중곡제3동,상수도전용,02 4991888
3040000,2020,4,20200901,20201111,백년푸줏간,"서울특별시 광진구 면목로 178, 1층 (중곡동)",서울특별시 광진구 중곡동  198번지 11호  1층,3040000-101-2019-00227,한식,갈비,168.61,중곡제3동,,02 4975400
